['price', 'hours', 'minute', 'seconds']  from C:\D-folder\data\weekdaywise-data\Thursday\2022-06-09
34914.1, 14, 41, 42
34915.1, 14, 41, 43
34916.75, 14, 41, 44
34915.1, 14, 41, 45
34915.1, 14, 41, 46
34912.5, 14, 41, 48
34916.85, 14, 41, 49
34916.85, 14, 41, 50
34914.65, 14, 41, 51
34915.4, 14, 41, 52
34914.15, 14, 41, 54
34912.95, 14, 41, 55
34916.1, 14, 41, 56
34918.4, 14, 41, 58
34914.45, 14, 41, 59
34918.75, 14, 42, 0
34918.1, 14, 42, 2
34919.55, 14, 42, 3
34913.7, 14, 42, 4
34914.95, 14, 42, 6
34914.8, 14, 42, 7
34919.0, 14, 42, 8
34917.5, 14, 42, 10
34915.05, 14, 42, 11
34914.9, 14, 42, 13
34917.2, 14, 42, 14
34916.25, 14, 42, 15
34917.75, 14, 42, 16
34928.1, 14, 42, 17
34932.45, 14, 42, 19
34935.5, 14, 42, 20
34928.0, 14, 42, 21
34928.5, 14, 42, 22
34932.4, 14, 42, 23
34932.0, 14, 42, 24
34932.0, 14, 42, 25
34926.8, 14, 42, 26
34930.15, 14, 42, 28
34921.5, 14, 42, 29
34928.1, 14, 42, 30
34927.05, 14, 42, 31
34928.15, 14, 42, 32
34932.6, 14, 42, 33
34929.8, 14, 42, 34
34930.95, 14, 42, 35
34926.9, 14, 42, 37
34927.2, 14, 42, 38
34924.9, 14, 42, 39
34925.55, 14, 42, 40
34925.65, 14, 42, 41
34927.65, 14, 42, 42
34924.8, 14, 42, 43
34923.95, 14, 42, 45
34922.15, 14, 42, 46
34917.45, 14, 42, 48
34919.1, 14, 42, 49
34919.9, 14, 42, 50
34917.2, 14, 42, 52
34920.7, 14, 42, 53
34920.15, 14, 42, 54
34922.5, 14, 42, 56
34923.9, 14, 42, 57
34921.05, 14, 42, 58
34911.3, 14, 42, 59
34915.65, 14, 43, 0
34915.9, 14, 43, 2
34916.0, 14, 43, 3
34918.65, 14, 43, 4
34916.6, 14, 43, 6
34917.75, 14, 43, 7
34921.5, 14, 43, 8
34922.75, 14, 43, 9
34920.35, 14, 43, 11
34920.2, 14, 43, 12
34920.5, 14, 43, 14
34921.35, 14, 43, 15
34920.45, 14, 43, 16
34921.85, 14, 43, 17
34922.9, 14, 43, 18
34922.9, 14, 43, 19
34916.9, 14, 43, 20
34920.25, 14, 43, 21
34918.1, 14, 43, 22
34918.05, 14, 43, 23
34919.0, 14, 43, 25
34921.4, 14, 43, 26
34920.55, 14, 43, 27
34920.55, 14, 43, 29
34918.25, 14, 43, 30
34917.7, 14, 43, 32
34919.8, 14, 43, 33
34916.3, 14, 43, 34
34916.45, 14, 43, 36
34915.65, 14, 43, 37
34914.6, 14, 43, 38
34916.2, 14, 43, 40
34913.8, 14, 43, 41
34916.05, 14, 43, 42
34916.05, 14, 43, 43
34917.2, 14, 43, 44
34917.05, 14, 43, 46
34917.9, 14, 43, 47
34918.4, 14, 43, 48
34918.4, 14, 43, 49
34917.95, 14, 43, 50
34919.7, 14, 43, 51
34919.75, 14, 43, 53
34922.85, 14, 43, 54
34922.85, 14, 43, 55
34921.75, 14, 43, 56
34921.2, 14, 43, 57
34917.15, 14, 43, 59
34918.5, 14, 44, 0
34918.5, 14, 44, 1
34918.75, 14, 44, 2
34923.8, 14, 44, 4
34923.95, 14, 44, 5
34924.25, 14, 44, 6
34922.3, 14, 44, 7
34923.9, 14, 44, 8
34923.75, 14, 44, 10
34919.0, 14, 44, 11
34918.85, 14, 44, 12
34925.15, 14, 44, 14
34924.3, 14, 44, 15
34923.8, 14, 44, 17
34924.65, 14, 44, 18
34924.2, 14, 44, 19
34923.95, 14, 44, 20
34922.1, 14, 44, 21
34922.7, 14, 44, 23
34925.6, 14, 44, 24
34925.6, 14, 44, 26
34925.65, 14, 44, 27
34926.2, 14, 44, 28
34923.4, 14, 44, 30
34924.8, 14, 44, 31
34922.7, 14, 44, 32
34928.9, 14, 44, 33
34928.9, 14, 44, 34
34928.85, 14, 44, 35
34927.9, 14, 44, 36
34928.8, 14, 44, 38
34929.75, 14, 44, 40
34928.0, 14, 44, 41
34930.85, 14, 44, 42
34930.85, 14, 44, 43
34930.8, 14, 44, 45
34929.05, 14, 44, 46
34925.0, 14, 44, 47
34925.0, 14, 44, 48
34931.0, 14, 44, 49
34932.7, 14, 44, 50
34931.1, 14, 44, 51
34928.75, 14, 44, 52
34930.7, 14, 44, 54
34932.75, 14, 44, 55
34931.0, 14, 44, 56
34931.0, 14, 44, 57
34939.95, 14, 44, 58
34940.6, 14, 44, 59
34942.45, 14, 45, 0
34940.05, 14, 45, 1
34951.6, 14, 45, 2
34951.95, 14, 45, 4
34952.4, 14, 45, 5
34952.75, 14, 45, 7
34952.95, 14, 45, 8
34950.25, 14, 45, 9
34950.25, 14, 45, 10
34949.65, 14, 45, 11
34951.7, 14, 45, 12
34952.55, 14, 45, 14
34952.55, 14, 45, 15
34954.0, 14, 45, 17
34957.9, 14, 45, 19
34959.25, 14, 45, 20
34958.55, 14, 45, 21
34960.9, 14, 45, 23
34961.95, 14, 45, 24
34960.7, 14, 45, 25
34963.45, 14, 45, 26
34963.45, 14, 45, 27
34963.75, 14, 45, 28
34962.85, 14, 45, 29
34962.3, 14, 45, 31
34963.35, 14, 45, 32
34965.2, 14, 45, 33
34966.1, 14, 45, 35
34966.1, 14, 45, 36
34958.3, 14, 45, 38
34959.75, 14, 45, 39
34954.15, 14, 45, 41
34955.0, 14, 45, 42
34956.95, 14, 45, 44
34953.15, 14, 45, 45
34951.4, 14, 45, 46
34950.95, 14, 45, 47
34949.55, 14, 45, 48
34949.55, 14, 45, 49
34950.85, 14, 45, 50
34949.7, 14, 45, 51
34951.45, 14, 45, 53
34952.6, 14, 45, 54
34954.05, 14, 45, 55
34954.05, 14, 45, 57
34953.5, 14, 45, 58
34956.25, 14, 45, 59
34953.4, 14, 46, 0
34953.65, 14, 46, 1
34950.3, 14, 46, 2
34950.45, 14, 46, 4
34951.6, 14, 46, 5
34951.6, 14, 46, 6
34953.4, 14, 46, 7
34945.85, 14, 46, 8
34945.65, 14, 46, 9
34943.6, 14, 46, 11
34940.7, 14, 46, 12
34945.85, 14, 46, 14
34945.5, 14, 46, 15
34943.95, 14, 46, 16
34943.95, 14, 46, 17
34942.8, 14, 46, 18
34942.8, 14, 46, 19
34942.95, 14, 46, 20
34943.7, 14, 46, 22
34941.25, 14, 46, 23
34941.0, 14, 46, 24
34941.95, 14, 46, 26
34940.45, 14, 46, 27
34942.95, 14, 46, 29
34935.7, 14, 46, 30
34935.7, 14, 46, 31
34936.0, 14, 46, 33
34939.35, 14, 46, 34
34938.8, 14, 46, 35
34941.35, 14, 46, 36
34940.7, 14, 46, 37
34940.95, 14, 46, 39
34939.55, 14, 46, 40
34939.55, 14, 46, 41
34940.8, 14, 46, 42
34941.15, 14, 46, 44
34941.15, 14, 46, 45
34942.5, 14, 46, 46
34941.35, 14, 46, 47
34944.0, 14, 46, 48
34941.95, 14, 46, 49
34943.35, 14, 46, 51
34941.15, 14, 46, 52
34938.8, 14, 46, 53
34939.45, 14, 46, 54
34936.75, 14, 46, 56
34937.05, 14, 46, 57
34937.3, 14, 46, 59
34933.2, 14, 47, 0
34934.1, 14, 47, 2
34932.35, 14, 47, 3
34933.75, 14, 47, 5
34923.25, 14, 47, 6
34924.05, 14, 47, 7
34928.05, 14, 47, 8
34931.75, 14, 47, 9
34932.85, 14, 47, 10
34926.1, 14, 47, 11
34927.25, 14, 47, 13
34931.15, 14, 47, 14
34931.6, 14, 47, 15
34930.65, 14, 47, 17
34929.95, 14, 47, 18
34932.85, 14, 47, 19
34930.0, 14, 47, 20
34933.4, 14, 47, 22
34933.9, 14, 47, 23
34928.1, 14, 47, 24
34928.1, 14, 47, 26
34927.9, 14, 47, 27
34930.65, 14, 47, 28
34931.5, 14, 47, 29
34925.65, 14, 47, 30
34925.65, 14, 47, 31
34928.25, 14, 47, 33
34933.15, 14, 47, 34
34931.35, 14, 47, 36
34933.5, 14, 47, 37
34933.0, 14, 47, 38
34934.55, 14, 47, 39
34933.1, 14, 47, 40
34934.15, 14, 47, 42
34932.0, 14, 47, 43
34934.0, 14, 47, 44
